"","PHYSS","DATEDUR","SERIOUS","SELFDET","EXTSCORE","BP"
"1",1,4,4,3.73333,-40,2.89655
"2",1,1,3,4.86667,-22,1.86207
"3",1,1,2,2.46667,-12,2
"4",1,1,2,5.4,-1,2.06897
"5",2.33333,5,4,6.46667,-30,2.72414
"6",1,3,3,4.93333,-38,1.93103
"7",1,1,3,4.4,-25,2.27586
"8",1,3,4,2.26667,-8,2.06897
"9",1,1,1,-1.6,3,3.44828
"11",1,4,5,4.26667,-22,1.10345
"12",1,3,2,2.2,-5,3.55172
"13",2.83333,3,5,2.6,-11,3.68966
"14",2.16667,3,3,3,-12,2.7931
"15",1.66667,1,3,2.86667,-7,4.03448
"16",1.16667,1,3,5.66667,-16,2.72414
"17",1.16667,5,4,3.86667,-31,2.06897
"18",1,2,3,2.33333,-29,1.89655
"19",1.83333,4,3,2.86667,-20,2.55172
"20",1,4,4,6.93333,-31,1.44828
"21",1,2,3,2.2,-9,2.93103
"22",1,4,3,2.73333,-32,2.28571
"23",1,4,2,4.53333,13,2.31034
"24",1,5,4,-0.6,-14,1.75862
"25",1,3,4,3.66667,-12,3.10345
"26",1,4,3,6.53333,-42,2.72414
"27",1.16667,3,5,6.66667,0,3.58621
"28",1.33333,4,3,1.26667,-32,2.62069
"29",1,3,4,3.66667,-7,2.13793
"30",1.16667,3,3,5.2,-7,2.48276
"31",1,3,4,4.8,-30,1.7931
"32",1,4,4,4.6,-24,1.86207
"33",1,3,3,3.66667,-36,2.34483
"34",1,5,4,3.53333,-33,2.48276
"35",1,2,3,5.8,-37,1.72414
"36",1,2,3,3.33333,-16,1.48276
"37",1,2,3,3.86667,-33,1.68966
"38",1,2,4,2.86667,-6,1.72414
"39",1.33333,5,4,5.66667,-19,2.27586
"40",1,3,4,4.4,-13,2.89655
"41",1,4,4,3.26667,-34,1.96552
"42",1,1,3,2.2,-19,2.62069
"43",1.16667,4,4,2.13333,-14,3.06897
"44",1,5,4,4.2,-37,2.55172
"45",1,4,4,6,-16,2.27586
"46",1.16667,5,4,4.73333,-21,3.03448
"48",1,1,2,0.6,-31,2.37931
"49",1,2,3,3.2,-16,2.10345
"50",1.16667,5,3,0.6,-29,1.51724
"51",1,5,4,3.8,-10,2.68966
"52",1,2,3,7.5,-20,1.75862
"53",1.16667,5,4,4.2,-33,2.17241
"54",1,3,4,3,3,2.37931
"55",1.33333,1,3,1.53333,-12,2.7931
"56",1,3,4,4.33333,-8,2.37931
"57",1,3,4,4.53333,-35,1.86207
"58",1,5,5,5.6,-22,2.93103
"59",1,5,4,1.66667,-41,2.58621
"60",1,5,4,2.26667,-30,1.86207
"61",1,1,3,5,-20,1.75862
"62",1,5,3,5.26667,-6,2.06897
"63",1.66667,5,4,4.1,-8,2.44828
"64",1,5,4,4.86667,-53,1.86207
"65",1.33333,5,4,3,-8,2.93103
"66",1.33333,5,4,5.4,0,2.44828
"67",1.16667,3,4,5.93333,-28,3.68966
"68",1.4,5,4,5.66667,0,3.2069
"70",1.16667,2,3,3.33333,-10,2.44828
"71",1.33333,3,3,4.26667,-21,2.48276
"72",1,1,2,1.73333,-22,2.10345
"73",1.5,4,4,7,-10,1.62069
"74",1,2,3,4.26667,-37,1.51724
"75",1,1,2,1.66667,-17,2.24138
"76",1,5,3,3.4,-39,1.51724
"77",1,5,5,2.53333,-35,2.27586
"78",1,5,4,6.33333,-20,1.75862
"79",1,3,4,3,-35,2.7931
"80",1.16667,4,4,1.46667,-23,2.96552
"81",1,4,4,5.73333,-22,2.55172
"82",1,4,4,6.06667,-12,1.75862
"83",1,4,4,6,-26,1.24138
"84",1,5,4,0.2,-7,1.93103
"85",1,1,2,5.4,-25,2.13793
"86",1,1,2,1.73333,-28,1.89655
"87",1,1,2,3.73333,-7,2.17241
"88",1,3,3,2.86667,2,2.37931
"89",1,5,4,8,-39,1.48276
"90",1,1,3,2.06667,-18,3.10345
"91",1.66667,1,2,3.6,-39,2.17241
"92",1.16667,4,3,4,-9,2.48276
"93",1,3,5,4.86667,-38,1.82759
"94",1.16667,1,3,5.66667,-36,2.24138
"95",1,5,4,2.46667,-26,1.75862
"96",1,4,4,4.73333,-29,2.17241
"97",1.16667,2,2,3.33333,-29,2.86207
"98",1,2,2,3.13333,-23,2.62069
"99",1.5,4,4,4.33333,-7,2.96552
"100",1.16667,1,3,2.53333,-20,1.7931
"101",1.16667,3,4,5.8,-10,2.27586
"102",1.16667,5,4,5.06667,-3,2.34483
"103",1.16667,3,4,5.2,-28,2.41379
"104",1,3,3,4.33333,-6,2.82759
"105",1,3,4,1.46667,-34,1.31034
"106",1.83333,4,4,2.86667,-6,3.13793
"107",1,5,3,2.2,-40,2.48276
"108",1.16667,5,5,4.86667,-43,2.75862
"109",1.16667,5,4,4.66667,-38,1.89655
"110",1.33333,4,3,2.93333,-19,2.03448
"111",1,3,3,2.13333,-13,1.58621
"112",1,1,3,2.8,-15,1.58621
"113",1,1,3,3.4,-22,2.75862
"114",1,3,4,6.93333,-20,2.2069
"115",1,3,4,3.86667,-33,1.37931
"116",1,5,4,5.46667,-9,2.2069
"117",1.33333,5,4,1.6,6,3.71429
"118",1,4,4,6.6,-17,1.55172
"119",1.66667,1,1,0.66667,-6,2.72414
"121",1,3,4,4.13333,-40,2.10345
"122",1,1,2,4.13333,-41,1.86207
"123",1.33333,2,3,-0.73333,-6,3.48276
"124",1,2,3,5,-20,1.58621
"125",1,3,4,5.53333,-16,1.51724
"126",1,4,3,3.46667,-3,1.93103
"127",1,5,4,5.33333,-29,1.55172
"128",1.16667,1,3,1.93333,-7,2.10345
"129",1,3,3,0.6,-7,2.31034
"130",1,1,2,2.93333,-19,2.31034
"131",1,1,2,0.26667,-16,2.82759
"132",1,5,4,0.8,-36,2.72414
"133",4.33333,5,4,5.2,1,2.06897
"134",3,5,5,2.73333,-9,3.37931
"135",1.5,4,5,6.13333,-8,2.68966
"136",1,5,5,1.6,-33,1.96552
"137",1,5,4,3.33333,-32,1.55172
"138",1,3,3,3.73333,-24,1.55172
"139",1,2,4,7.66667,-9,2.31034
"140",1,1,3,6.06667,-38,1.89655
"141",1,5,5,5.73333,-20,1.75862
"142",1,5,4,4.53333,-25,1.55172
"143",1,1,1,0.46667,5,1.75862
"144",1.16667,3,4,2.86667,-55,1.41379
"145",1.16667,1,2,-0.4,-3,2.75862
"146",1,4,4,2.8,-24,1.31034
"147",1,4,4,5.6,-17,1.82759
"149",1,2,4,3.66667,-3,2.96552
"150",1,5,4,1.86667,-24,2.27586
"151",1.66667,1,2,4.93333,-21,2.86207
"152",1,3,4,6.6,-19,3.75862
"153",1,4,4,-0.6,-17,2
"154",1,3,4,5.53333,-15,2.2069
"155",1,2,3,3.2,-6,2.34483
"156",1,4,3,3.73333,-25,3
"157",1,3,4,2.53333,-13,1.86207
"158",1,3,3,5,-27,1.75862
"159",1,5,4,-2.73333,-32,1.62069
"160",1,3,4,6,-26,2.41379
"161",1,4,3,1.4,1,2.24138
"162",1,3,4,4.66667,-37,1.27586
"163",1.16667,5,4,5.93333,-30,2.7931
"164",1,1,1,5,-27,2.31034
"165",1,1,2,5.26667,-45,2.13793
"167",1,2,4,4.73333,-25,1.55172
"168",1,3,4,3.46667,-25,2.51724
"169",1,3,4,5.6,-26,3.10345
"170",1,3,4,2.73333,-8,2.93103
"171",1.16667,4,3,3.26667,-10,1.68966
"172",1,4,3,2.66667,-42,1.75862
"173",1.16667,4,3,0.06667,-22,2.68966
"174",1,5,4,5.66667,-22,1.96552
"175",1.16667,2,2,-1.46667,-21,2.58621
"176",1,1,4,2.53333,-33,2.27586
"177",1,3,3,7,-33,1.44828
"178",1.16667,3,4,4.93333,-34,1.82759
"179",1.66667,3,4,6.8,-41,2.72414
"180",1.16667,5,4,2.53333,-30,2.03448
"181",2,4,4,3.53333,-16,2.37931
"182",1,1,1,4.46667,-34,1.51724
"183",1,4,4,5.93333,-34,2.34483
"184",4.66667,1,1,-0.4,-6,2.96552
"185",1.33333,3,3,3.8,-19,2.31034
"186",1.33333,4,4,6.46667,-31,1.89655
"187",1,5,4,5.66667,-30,2.17241
"188",1,4,4,4,-37,1.75862
"189",1,5,4,3,-22,1.72414
"190",1,3,3,3.86667,-31,1.34483
"191",1,2,3,3.8,-10,1.68966
"192",1,1,2,3.26667,6,2.55172
"193",2.33333,1,1,3.46667,2,3.75862
"194",1,5,4,2.26667,-32,1.58621
"195",1.16667,3,4,4.86667,-16,2.10345
"196",1,2,3,3.6,-24,2.17241
"197",1,1,2,5.33333,-4,2.10345
"198",1.16667,4,4,3.33333,-18,2.93103
"199",1,2,4,6.6,-27,1.82759
"200",2.83333,1,2,-0.66667,-5,3.17241
"201",3.33333,5,4,3.93333,-27,3.7931
"202",1,3,3,3.66667,-7,2.2069
"203",1,5,4,4.66667,-33,1.72414
"204",1,3,4,2.66667,-30,1.75862
"205",1,5,4,3.46667,-24,1.2069
"206",1,3,4,4.66667,-30,2.44828
"207",1.5,5,4,0.93333,18,2.72414
"208",1,1,3,0.86667,1,2.55172
"209",1,1,2,2.86667,-26,1.89655
"210",1,1,1,3.4,-14,1.75862
"211",1,5,4,2.2,-10,1.37931
"212",1,3,3,3.2,-33,1.58621
"213",1.16667,2,2,1.06667,-18,2.31034
"214",1.33333,3,3,5.73333,-36,2.10345
"215",1,5,3,4.53333,-37,2.41379
"216",1.33333,4,4,4.4,3,2.89655
"217",1.16667,5,4,2.53333,-6,3.27586
"218",1,5,4,2.8,2,2.17241
"219",3.33333,2,2,-0.06667,-1,2.27586
"220",1,1,2,3,-45,1.37931
"221",1.33333,4,4,4.73333,-21,1.96552
"222",1,3,3,-0.4,-22,2.2069
"223",1,5,3,3.93333,-24,2.58621
"224",1,4,3,2.13333,-28,2
"226",1.2,2,3,2.46667,-25,2.10345
"228",1,5,4,1,-21,2.32143
"229",1,4,4,4,-12,3
"230",1.16667,3,5,6.26667,-30,2.65517
"231",1,4,3,1.13333,-17,1.89655
"232",1,3,3,4.86667,-42,1.89655
"234",1,3,5,5.6,-33,1.34483
"235",1,3,3,4.6,-19,2.17241
"236",1.16667,1,3,0.46667,-3,2.17241
"237",1.16667,4,4,6.06667,-26,2.24138
"238",1,3,4,4,-23,1.96552
"239",1,3,3,1.6,-31,2.7931
"240",1,4,3,-0.86667,-2,2.72414
"241",1,2,2,2.4,-2,2.75862
"242",1.16667,5,4,5.26667,-12,2.10345
"243",1,1,2,4.66667,-27,2
"244",1,5,3,-1,0,1.31034
"245",1,4,4,3.93333,-17,1.55172
"246",1.16667,1,2,2.53333,0,2.65517
"247",2.16667,5,3,2.13333,-6,2.34483
"248",1.16667,5,4,5,-8,2.24138
"249",1,3,4,5.4,-40,2.55172
"250",1,5,4,5.86667,-29,2.31034
"251",1,4,4,5.66667,-35,3.2069
"252",1,3,4,1.8,-9,2.82759
"253",1,4,4,2.4,-37,2.44828
"254",1,1,3,5.33333,-8,2.27586
"255",1,5,5,1.53333,-11,2.86207
"256",1,5,4,0,5,2.82759
"257",1,5,4,4.26667,-30,2.34483
"258",1,5,4,5.06667,-23,2.31034
"259",1,2,3,3.06667,-46,1.34483
"260",1,3,4,2.13333,-44,1.96552
"261",1.33333,3,4,4.8,5,2.13793
"262",1,3,3,5,-20,1.75862
"263",1,1,3,3.93333,-18,2.51724
"264",1,4,3,4.2,-17,2.17241
"265",1.16667,1,2,3,-36,2.10345
"266",1.16667,5,4,5,-35,2.34483
"267",1,5,4,4.6,-33,2.2069
"268",1.83333,1,2,4.6,-25,2.34483
"269",1,5,3,5.86667,-17,2.06897
"270",1,3,3,2.06667,-29,1.48276
"271",1.16667,1,3,3.93333,-35,1.89655
"272",1.16667,5,4,-0.06667,-22,2.27586
"273",1.16667,4,3,4.93333,-12,1.7931
"274",1,3,4,2.33333,-26,3.31034
"275",1,4,4,3.13333,-30,1.37931
"276",1,3,3,4.2,-23,2.65517
"277",1,4,4,5.33333,-38,1.82759
"278",1,1,2,0.46667,-14,2.86207
"279",1,2,3,2.33333,-19,3.13793
"280",1.16667,4,4,2.33333,-21,2.48276
"281",1.33333,3,4,2.26667,-8,2.93103
"282",1,1,2,3.2,-15,1.44828
"283",1,5,4,7.33333,-16,1.93103
"284",1,4,4,3.26667,-37,1.89655
"285",1,5,4,4.4,-45,1.48276
"287",1,5,3,-0.4,-8,2.7931
"288",1,1,4,3.46667,-5,2.58621
"289",1.16667,5,4,2.86667,-28,2.93103
"290",1,3,4,3.66667,-8,2.10345
"291",1,3,4,3.6,-30,2.37931
"292",1,4,3,3.06667,-21,1.58621
"293",1.5,5,3,0.53333,-12,3.34483
"294",1.16667,5,4,4.73333,-26,2.62069
"295",3.8,3,3,2.46667,3,3.17241
"296",1.16667,1,3,3.8,-33,3
"297",1,1,1,-0.8,-30,3.51724
"298",1,5,4,4.86667,-24,1.41379
"299",1,2,4,3.86667,-29,2.06897
"300",1,1,1,3.13333,-27,1.48276
"301",1,4,3,3.33333,-33,2.27586
"302",1,5,5,3.46667,8,1.86207
"303",1,5,4,1.93333,-35,1.89655
"304",1,3,4,0.53333,-20,2.72414
"305",1,5,4,4.4,-20,2.24138
"306",1,4,3,1.2,-12,2.31034
"307",2.16667,3,4,4.33333,-16,3.75862
"308",1,3,3,3.06667,-26,1.89655
"309",1,3,4,3.73333,-22,2.75862
"310",1,2,2,4.46667,-12,1.89655
"311",4,5,3,-0.53333,-4,1.62069
"312",1.33333,5,2,3.33333,-22,1.96552
"313",1.16667,2,4,4.26667,-12,2.10345
"314",1.66667,4,4,3.8,-30,2.13793
"316",1,3,4,0.06667,-41,3
"317",1.16667,5,4,4.4,-16,3.51724
"318",1.16667,3,4,3.66667,-23,3.41379
"319",1,3,4,5.26667,-41,1.62069
"320",1.5,4,4,2,6,2.68966
"321",1,4,4,4.2,-30,1.75862
"322",1,4,3,-0.46667,5,3.31034
"323",1.16667,1,1,-0.2,-29,2.82759
"324",1,4,4,2.53333,-27,2.41379
"325",1,5,5,3.86667,-18,2.86207
"326",1,4,4,3.53333,-21,2.82759
"327",1,3,4,5.2,-39,2.7931
"328",1,3,4,5.13333,-13,2.86207
"329",1,5,3,4.13333,-32,1.75862
"330",1,5,4,4.46667,-25,1.55172
"331",1,3,3,3.33333,-48,1.93103
"332",1,2,4,5.4,-21,1.96552
"333",1,5,3,2.13333,-17,2.48276
"334",1,1,1,4.13333,-22,1.93103
"336",1.33333,5,4,4.6,-7,3.03448
"337",1.16667,2,4,3,3,2.89655
"338",1,5,5,4.66667,-33,2.58621
"339",1.83333,1,2,2.2,-19,3.27586
"340",1,1,1,4.4,-32,1.58621
"342",1.16667,4,3,5.5,-20,2.17241
"343",1,5,4,3.93333,-18,1.7931
"344",1,3,3,-1.06667,-20,3
"345",1.33333,4,4,7,-38,1.93103
"346",1,2,3,1.46667,-10,2.93103
"347",2,3,3,2.46667,-12,3.37931
"348",1.16667,4,4,4.53333,-14,2.31034
"350",1.33333,4,4,3.06667,-48,1.58621
"351",1.16667,3,3,6.53333,-22,3
"352",1,1,2,4.46667,-23,2.62069
"353",1,4,3,1.06667,-4,2.93103
"354",1,1,3,2.66667,8,3.37931
"355",1,1,2,5.2,-8,2.2069
"356",1,5,4,5.53333,-32,2
"357",1,1,2,3.6,-12,1.93103
"358",1,3,3,4,-12,2.27586
"359",1,4,4,1.53333,-2,2.17241
"360",1,1,1,-0.86667,-5,2.51724
"361",1,5,4,4.6,6,2.37931
"362",1,2,2,3.73333,-17,2.03448
"363",1,4,3,3.66667,-26,2.51724
"364",1,2,4,6.06667,-41,1.86207
"365",1,1,3,3.2,-9,3.13793
"366",1,4,3,1.93333,-15,2.51724
"367",1.66667,1,2,2.8,-29,2.89655
"368",1,1,2,0.93333,-40,2.55172
"369",1,4,4,4.33333,-9,2
"370",2,4,3,-0.33333,0,2
"371",1.66667,1,3,-0.93333,-8,3.37931
"372",1.16667,1,2,0.93333,-17,3.58621
"373",1,5,4,5.6,-26,1.89655
"374",1,4,4,2.13333,-8,2.26923
"375",1.16667,5,5,4.33333,-25,2.62069
"376",1,1,1,2.26667,-32,2.17241
"377",1,3,4,5.13333,-41,2.62069
"378",1,1,3,5.13333,-24,2.27586
"379",1.16667,3,4,4.26667,-8,3.34483
"380",1,1,2,3.4,-10,2.41379
"381",1,1,3,4.93333,-18,3.2069
"382",1,4,3,5.06667,-26,2.58621
"383",1,1,2,4.26667,-29,1.93103
"384",1,1,2,0.8,-3,2.68966
"385",1,4,3,1.46667,-21,2.2069
"386",1,5,4,3.13333,-15,2.68966
"387",1,3,4,4.66667,-39,2.65517
"388",1,4,4,6.13333,-35,3.10345
"389",1,3,3,5.53333,-42,2.65517
"390",1.66667,5,3,1.93333,-45,1.89655
"391",1,1,3,3.06667,-35,2.37931
"392",1,1,2,4.13333,-24,2.13793
"394",1.16667,4,2,0.8,-11,3.10345
"395",1,2,2,1.53333,-32,2.31034
"396",1,2,4,5.86667,-37,1.72414
"397",1,5,4,4.6,9,2.37931
"398",1,4,3,2.8,-32,2.31034
"399",1.16667,5,4,0.26667,-9,2.10345
"400",1.33333,1,3,3,-10,3.2069
